Movie,Score,Poster_URL
Pirates of the Caribbean: The Curse of the Black Pearl,76%,https://posters.movieposterdb.com/10_01/2003/325980/s_325980_6a4da6c6.jpg
Amélie,98%,https://posters.movieposterdb.com/10_02/2010/9990682/s_9990682_d108248c.jpg
Boyhood,83%,https://posters.movieposterdb.com/14_06/2013/1065073/s_1065073_f7f45b95.jpg
The Hunger Games,57%,https://posters.movieposterdb.com/12_02/2012/1392170/s_1392170_7bed9f27.jpg
Mrs. Doubtfire,90%,https://posters.movieposterdb.com/09_08/1993/107614/s_107614_6a2511a2.jpg
The Lord of the Rings: The Fellowship of the Ring,88%,https://posters.movieposterdb.com/04_12/2001/0120737/s_166_0120737_158c8914.jpg
The Wolf of Wall Street,76%,https://posters.movieposterdb.com/13_11/2013/993846/s_993846_6b55e2ea.jpg
Shakespeare in Love,90%,https://posters.movieposterdb.com/06_08/1998/0138097/s_128714_0138097_b0193ebe.jpg
Harry Potter and the Sorcerer's Stone,78%,https://posters.movieposterdb.com/13_02/2001/241527/s_241527_da927a3d.jpg
Captain America: Civil War,92%,https://posters.movieposterdb.com/21_02/2016/3498820/s_3498820_846d51a7.jpg
Platoon,95%,https://posters.movieposterdb.com/08_12/1986/91763/s_91763_cfdaeb2f.jpg
A Few Good Men,94%,https://posters.movieposterdb.com/09_01/1992/104257/s_104257_52e46703.jpg
The King's Speech,93%,https://posters.movieposterdb.com/10_12/2010/1504320/s_1504320_07fe92ac.jpg
Indiana Jones and the Last Crusade,90%,https://posters.movieposterdb.com/22_11/1989/251138/s_indiana-jones-and-the-last-crusade-movie-poster_0c888235.jpg
Gremlins,82%,https://posters.movieposterdb.com/05_09/1984/0087363/s_51245_0087363_5bd0b8d4.jpg
Lost in Translation,84%,https://posters.movieposterdb.com/12_04/2003/335266/s_335266_49c010e1.jpg
Furious 7,71%,https://posters.movieposterdb.com/23_02/2015/5273616/s_furious-7-race-wars-movie-poster_86619778.jpg
Slumdog Millionaire,94%,https://posters.movieposterdb.com/13_02/2008/1010048/s_1010048_d878c5ef.jpg
The Avengers,87%,https://posters.movieposterdb.com/20_10/2012/848228/s_848228_9bc5bc2a.jpg
The Fate of the Furious,38%,https://posters.movieposterdb.com/21_08/2017/4630562/s_4630562_5cf3c12f.jpg
